lat,long,occurrence,year,siteid
43.5,-95.849,1,2018,1
43.512,-96.093,0,2013,2
43.512,-96.092,1,2008,3
43.513,-95.851,1,2006,4
43.514,-96.341,0,2017,5
43.514,-96.085,0,2019,6
43.514,-96.059,0,2013,7
43.515,-96.092,0,2019,8
43.515,-96.058,0,2017,9
43.516,-96.071,1,2006,10
43.526,-96.187,0,2013,11
43.526,-96.06,1,2006,12
43.528,-95.846,1,2019,13
43.529,-96.034,1,2019,14
43.529,-96.033,1,2017,15
43.531,-96.332,0,2017,16
43.535,-95.994,0,2017,17
43.538,-95.839,1,2015,18
43.543,-96.313,0,2017,19
43.543,-96.062,1,2007,20
43.543,-96.061,1,2010,21
43.543,-95.848,1,2013,22
43.543,-95.847,1,2008,23
43.543,-95.817,1,2019,24
43.544,-96.341,0,2016,25
43.544,-96.188,1,2006,26
43.544,-96.178,0,2016,27
43.546,-95.811,0,2014,28
43.549,-96.196,1,2017,29
43.554,-96.181,0,2012,30
43.558,-96.185,1,2006,31
43.558,-95.863,1,2013,32
43.558,-95.774,0,2012,33
43.566,-95.759,1,2019,34
43.571,-96.062,0,2018,35
43.572,-95.861,1,2013,36
43.573,-96.064,1,2013,37
43.573,-95.757,0,2017,38
43.574,-96.064,1,2010,39
43.576,-95.758,1,2016,40
43.579,-96.058,1,2017,41
43.583,-95.754,1,2018,42
43.586,-95.754,0,2018,43
43.594,-96.439,1,2017,44
43.594,-96.433,0,2012,45
43.595,-96.19,1,2017,46
43.597,-96.034,0,2019,47
43.601,-96.182,1,2005,48
43.602,-96.444,0,2008,49
43.602,-96.163,1,2019,50
43.603,-96.173,1,2013,51
43.607,-96.157,1,2017,52
43.607,-96.143,1,2004,53
43.61,-96.142,1,2017,54
43.611,-96.014,1,2005,55
43.613,-95.747,1,2004,56
43.615,-96.352,1,2017,57
43.616,-96.372,1,2006,58
43.616,-96.197,1,2010,59
43.616,-95.998,0,2007,60
43.62,-96.432,0,2004,61
43.621,-96.113,1,2005,62
43.623,-95.994,0,2016,63
43.625,-95.986,1,2007,64
43.628,-96.195,1,2008,65
43.631,-96.33,0,2012,66
43.631,-95.867,0,2009,67
43.637,-95.961,0,2016,68
43.638,-96.115,1,2016,69
43.639,-95.959,0,2016,70
43.641,-96.112,0,2014,71
43.643,-95.943,0,2017,72
43.644,-95.96,0,2016,73
43.644,-95.94,1,2018,74
43.645,-95.96,1,2016,75
43.645,-95.952,1,2012,76
43.645,-95.935,1,2016,77
43.646,-96.201,1,2017,78
43.646,-96.199,1,2015,79
43.648,-96.402,0,2008,80
43.648,-96.2,1,2015,81
43.649,-96.315,1,2005,82
43.649,-96.199,1,2018,83
43.65,-96.197,1,2007,84
43.651,-95.933,0,2019,85
43.652,-95.931,0,2016,86
43.653,-96.193,0,2016,87
43.654,-95.929,1,2010,88
43.655,-96.191,1,2010,89
43.655,-95.894,0,2016,90
43.656,-96.198,1,2016,91
43.657,-96.312,0,2010,92
43.657,-95.904,1,2008,93
43.658,-95.93,0,2016,94
43.659,-95.918,1,2005,95
43.659,-95.905,1,2019,96
43.659,-95.904,0,2013,97
43.66,-96.396,0,2009,98
43.66,-96.093,1,2018,99
43.66,-95.915,0,2018,100
43.663,-95.774,1,2006,101
43.669,-96.172,0,2014,102
43.671,-96.065,0,2017,103
43.672,-96.171,0,2008,104
43.672,-96.073,1,2016,105
43.672,-96.072,0,2017,106
43.672,-96.066,1,2017,107
43.672,-95.831,1,2015,108
43.674,-96.168,0,2014,109
43.674,-95.778,0,2018,110
43.675,-96.048,1,2019,111
43.677,-96.291,1,2016,112
43.678,-96.166,0,2015,113
43.679,-95.779,0,2018,114
43.683,-96.273,1,2016,115
43.687,-95.991,0,2016,116
43.688,-96.025,0,2012,117
43.688,-96.02,1,2005,118
43.688,-95.986,0,2016,119
43.688,-95.906,0,2010,120
43.689,-96.289,1,2013,121
43.689,-95.906,0,2016,122
43.695,-96.286,1,2004,123
43.695,-96.146,1,2018,124
43.7,-96.154,1,2017,125
43.702,-96.15,1,2016,126
43.703,-96.296,1,2007,127
43.703,-96.268,1,2017,128
43.703,-96.159,0,2005,129
43.703,-96.149,1,2006,130
43.703,-96.001,1,2012,131
43.703,-95.995,1,2004,132
43.703,-95.914,1,2013,133
43.704,-96.294,1,2019,134
43.704,-96.268,1,2018,135
43.704,-96.157,1,2016,136
43.705,-96.267,1,2018,137
43.705,-95.993,0,2018,138
43.707,-96.289,1,2009,139
43.707,-96.288,1,2013,140
43.707,-96.266,1,2018,141
43.707,-96.157,1,2016,142
43.709,-96.133,1,2004,143
43.71,-96.112,1,2013,144
43.714,-96.174,0,2015,145
43.714,-96.173,1,2016,146
43.714,-96.172,0,2010,147
43.715,-96.285,1,2014,148
43.717,-96.186,1,2017,149
43.718,-96.282,1,2014,150
43.718,-96.086,1,2013,151
43.718,-96.077,1,2016,152
43.718,-95.911,0,2012,153
43.719,-96.282,1,2015,154
43.719,-96.278,1,2016,155
43.719,-96.19,0,2010,156
43.719,-96.076,0,2017,157
43.72,-96.279,0,2019,158
43.726,-96.292,1,2015,159
43.726,-96.066,0,2016,160
43.727,-96.065,0,2015,161
43.728,-96.06,0,2015,162
43.728,-96.058,0,2016,163
43.728,-96.054,1,2004,164
43.729,-96.294,1,2015,165
43.729,-96.268,1,2015,166
43.729,-96.058,0,2015,167
43.73,-96.293,1,2016,168
43.731,-96.292,0,2017,169
43.731,-96.27,1,2017,170
43.731,-95.918,0,2012,171
43.733,-96.269,1,2016,172
43.733,-96.133,1,2013,173
43.737,-96.292,0,2018,174
43.737,-96.1,0,2017,175
43.738,-95.918,0,2007,176
43.739,-96.262,0,2017,177
43.739,-96.148,1,2010,178
43.74,-96.152,1,2013,179
43.741,-96.263,1,2017,180
43.745,-96.261,1,2017,181
43.747,-96.201,0,2013,182
43.749,-96.292,1,2006,183
43.757,-96.168,1,2019,184
43.76,-96.296,0,2017,185
43.761,-96.452,1,2016,186
43.761,-96.297,1,2006,187
43.761,-96.255,1,2016,188
43.761,-96.09,1,2017,189
43.761,-96.05,1,2016,190
43.762,-96.447,1,2016,191
43.762,-96.364,1,2018,192
43.762,-96.197,0,2017,193
43.762,-96.09,1,2016,194
43.762,-96.05,0,2009,195
43.763,-96.127,1,2017,196
43.763,-96.049,0,2017,197
43.764,-96.087,0,2017,198
43.765,-96.447,1,2015,199
43.765,-96.445,0,2015,200
43.766,-96.049,0,2015,201
43.768,-96.444,1,2015,202
43.771,-96.439,1,2012,203
43.775,-96.171,0,2013,204
43.781,-96.033,0,2014,205
43.784,-96.031,1,2016,206
43.787,-96.03,1,2005,207
43.789,-96.023,0,2017,208
43.79,-96.403,1,2006,209
43.79,-96.125,1,2019,210
43.791,-96.009,0,2014,211
43.792,-96.4,1,2017,212
43.807,-95.973,0,2005,213
43.807,-95.969,0,2015,214
43.808,-96.426,1,2010,215
43.819,-96.416,1,2018,216
43.819,-96.084,0,2019,217
43.82,-96.13,0,2013,218
43.823,-96.416,1,2015,219
43.824,-96.134,1,2014,220
43.827,-96.134,1,2004,221
43.832,-96.415,1,2016,222
43.834,-96.416,1,2007,223
43.834,-96.412,1,2014,224
43.835,-96.416,1,2017,225
43.846,-96.404,1,2015,226
43.848,-96.126,1,2018,227
43.849,-96.339,0,2015,228
43.849,-96.145,1,2004,229
43.851,-96.158,1,2005,230
43.852,-96.347,1,2019,231
43.858,-96.135,1,2012,232
43.859,-96.265,1,2004,233
43.859,-96.257,1,2007,234
43.864,-96.23,1,2015,235
43.865,-96.223,1,2016,236
43.865,-96.204,1,2016,237
43.865,-96.173,1,2014,238
43.866,-96.205,1,2016,239
43.867,-96.204,1,2015,240
43.867,-96.199,1,2015,241
43.87,-96.205,1,2015,242
43.873,-96.387,0,2012,243
43.873,-96.142,1,2006,244
43.877,-96.114,0,2016,245
43.878,-96.38,1,2013,246
43.878,-96.15,1,2018,247
43.885,-96.096,1,2017,248
43.886,-96.095,1,2007,249
43.892,-96.371,1,2009,250
43.892,-96.368,1,2013,251
43.893,-96.168,1,2015,252
43.893,-96.16,1,2016,253
43.894,-96.166,1,2013,254
43.896,-96.164,1,2016,255
43.897,-96.16,1,2016,256
43.9,-96.064,0,2010,257
43.908,-96.145,1,2016,258
43.909,-96.374,1,2015,259
43.911,-96.034,1,2010,260
43.911,-96.032,1,2016,261
43.919,-96.165,1,2019,262
43.921,-95.932,0,2013,263
43.925,-96.347,0,2014,264
43.926,-96.35,0,2013,265
43.929,-96.185,1,2016,266
43.933,-96.183,1,2018,267
43.936,-96.136,1,2013,268
43.937,-96.444,1,2012,269
43.943,-96.151,1,2007,270
43.943,-96.14,1,2012,271
43.946,-96.143,1,2016,272
43.949,-96.029,1,2019,273
43.952,-96.128,0,2009,274
43.954,-96.031,1,2017,275
43.96,-96.158,1,2018,276
43.961,-96.157,1,2019,277
43.965,-96.159,1,2016,278
43.971,-96.444,1,2006,279
43.972,-96.432,1,2017,280
43.987,-96.429,1,2007,281
43.989,-96.426,1,2016,282
43.991,-96.419,1,2018,283
43.991,-96.163,1,2005,284
43.994,-96.441,1,2018,285
43.994,-96.412,1,2014,286
44.01,-96.4,1,2018,287
44.013,-96.387,0,2013,288
44.015,-96.318,0,2016,289
44.015,-96.15,1,2005,290
44.02,-96.348,1,2015,291
44.022,-96.337,1,2007,292
44.023,-96.368,1,2013,293
44.023,-96.33,1,2018,294
44.023,-96.329,1,2016,295
44.024,-96.368,1,2007,296
44.029,-96.174,1,2017,297
44.032,-96.111,1,2018,298
44.037,-96.116,1,2005,299
44.041,-96.4,0,2012,300
44.043,-96.129,1,2015,301
44.045,-96.393,0,2013,302
44.046,-96.164,1,2015,303
44.05,-96.388,1,2005,304
44.052,-96.157,1,2004,305
44.06,-96.172,0,2005,306
44.061,-96.368,1,2005,307
44.071,-96.348,1,2013,308
44.073,-96.339,0,2015,309
44.08,-96.447,0,2013,310
44.081,-96.308,1,2013,311
44.082,-96.441,0,2018,312
44.082,-96.307,0,2018,313
44.085,-96.44,0,2018,314
44.085,-96.287,1,2018,315
44.086,-96.293,0,2018,316
44.088,-96.44,1,2018,317
44.09,-96.265,0,2018,318
44.094,-96.436,1,2018,319
44.094,-96.175,0,2014,320
44.095,-96.257,1,2013,321
44.097,-96.259,1,2007,322
44.099,-96.429,1,2016,323
44.099,-96.428,1,2018,324
44.111,-96.423,0,2012,325
44.111,-96.338,1,2017,326
44.115,-96.403,0,2019,327
44.125,-96.396,0,2010,328
44.126,-96.396,0,2013,329
44.129,-96.445,0,2017,330
44.13,-96.441,0,2017,331
44.131,-96.447,0,2016,332
44.131,-96.445,0,2016,333
44.133,-96.424,1,2004,334
44.136,-96.254,0,2018,335
44.138,-96.254,0,2018,336
44.14,-96.421,1,2006,337
44.14,-96.389,0,2007,338
44.14,-96.383,0,2007,339
44.142,-96.382,0,2015,340
44.148,-96.233,1,2006,341
44.15,-96.415,1,2017,342
44.151,-96.416,1,2016,343
44.152,-96.415,0,2009,344
44.153,-96.282,0,2015,345
44.153,-96.281,0,2016,346
44.154,-96.292,1,2012,347
44.154,-96.277,1,2015,348
44.154,-96.234,0,2017,349
44.155,-96.368,1,2008,350
44.158,-96.399,1,2016,351
44.158,-96.396,1,2019,352
44.16,-96.396,0,2005,353
44.162,-96.306,0,2018,354
44.179,-96.335,1,2004,355
44.179,-96.254,0,2010,356
44.183,-96.382,0,2014,357
44.184,-96.304,0,2015,358
44.188,-96.37,0,2013,359
44.197,-96.326,0,2017,360
44.2,-96.324,0,2007,361
44.212,-96.319,0,2007,362
44.248,-96.444,1,2019,363
44.248,-96.442,1,2013,364
44.252,-96.409,1,2009,365
44.253,-96.414,1,2004,366
44.258,-96.427,0,2013,367
44.258,-96.422,1,2012,368
44.269,-96.388,0,2006,369
44.279,-96.384,1,2017,370
44.283,-96.374,0,2017,371
44.309,-96.382,0,2004,372
44.313,-96.386,1,2014,373
